//==============================================================================================================================================//									
//	MuDevs.com								
//	Version: S20.2-3								
//	Update: May/29/2025								
//	Editor: OMEGA								
//	UTF-8								
//==============================================================================================================================================//									
//[Index]	[ViewportID]	[ItemType]	[ItemIndex]	[Name]	[Type]	[notice]	[Cleartype]	[Explanation]	[BuffOutputValue]
0									
1	1	255	255	"Tăng sức tấn công"	0	1	1	"Sức tấn công tăng."	0
2	2	255	255	"Tăng phòng thủ"	0	1	1	"Phòng thủ tăng."	0
3	3	255	255	"Hiệu ứng Shadow Phantom"	0	1	1	"Sức tấn công và Phòng thủ tăng"	0
4	4	255	255	"Soul Barrier"	0	1	1	"Mana hấp thụ sát thương."	0
5	5	255	255	"Lord of Dignity"	0	1	1	"Tăng tỉ lệ sát thương Chí mạng và Hoàn hảo cho bạn và thành viên tổ đội."	0
6	6	255	255	"Infinity Arrow"	0	0	1	"Mũi tên không bị tiêu hao."	0
7	7	255	255	"Tăng tốc độ hồi AG"	0	0	1	""	0
8	8	255	255	"Swell Life"	0	1	1	"Chỉ số HP tăng lên mức tối đa."	0
9	9	255	255	"Swell Mana"	0	0	1	"Chỉ số Mana tăng lên mức tối đa."	0
10	10	255	255	"Potion of Blessing"	0	0	1	"Sức tấn công tăng +20%"	0
11	11	255	255	"Potion of Soul"	0	0	1	"Tăng tốc độ hồi AG +8 / Tăng kháng Sét và Băng / Tăng tốc độ tấn công +20"	0
12	12	255	255	"Hủy bỏ phép thuật"	0	0	1	""	0
13	13	255	255	"Trạng thái Mở/Đóng Cổng"	0	1	1	""	0
14	14	255	255	"Tháp canh"	0	1	1	"Đang canh giữ lâu đài."	0
15	14	255	255	"Bang hội Công thành 1"	0	1	1	"Đang trong quá trình tấn công lâu đài"	0
16	14	255	255	"Bang hội Công thành 2"	0	1	1	"Đang trong quá trình tấn công lâu đài"	0
17	14	255	255	"Bang hội Công thành 3"	0	1	1	"Đang trong quá trình tấn công lâu đài"	0
18	15	255	255	"Tàng hình"	0	1	1	"Trạng thái trong suốt"	0
19	16	255	255	"Kỹ năng chiến đấu Dark Rod"	0	0	1	""	0
20	17	255	255	"Trạng thái đăng ký Vương miện"	0	1	1	""	0
21	18	255	255	"Bàn thờ Sói cho phép giao ước"	0	1	1	""	0
22	18	255	255	"Bàn thờ Sói hủy giao ước"	0	1	1	""	0
23	18	255	255	"Trạng thái giao ước Bàn thờ Sói"	0	1	1	""	0
24	18	255	255	"Thử giao ước Bàn thờ Sói"	0	1	1	""	0
25	18	255	255	"Trạng thái công thành Bàn thờ Sói"	0	1	1	""	0
26	18	255	255	"Trạng thái giao ước anh hùng Bàn thờ Sói"	0	1	1	""	0
27	19	255	255	"Độ trong suốt NPC Cry Wolf"	0	1	1	""	0
28	20	255	255	"GM"	0	1	1	""	0
