//==============================================================================================================================================//																											
//	MuDevs.com																										
//	Version: S20.2-1																										
//	Update: Apr/22/2025																										
//	Editor: OMEGA																										
//	Changelog: RuneWizard ID 124 "* Magic Power(%)" 																										
//==============================================================================================================================================//																											
// Index	InfoNameColor		Type	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC	KM	LM	IK	AL	Position	Sort	Value1Color	Value1Pre	Value1Post	Value2Color	Value2Pre	Value2Post	ButtonType
1	20	"Class"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	3	""	""	0	""	""	0
2	20	"Level"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	""	""	0	""	""	0
3	20	"Guild"	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	""	""	0	""	""	0
4	20	"Server"	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	""	""	0	""	""	0
5	20	"Điểm dư"	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	""	""	0	""	""	0
6	20	"Điểm quả tăng"	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	3	""	""	1	"("	"%)"	0
7	20	"Điểm quả giảm"	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	3	""	""	1	"("	"%)"	0
8	20	"Sức mạnh"	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	3	""	""	1	"(+"	")"	1
9	12	"* (+) T.công"	7	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	2	1	12	""	""	12	""	""	0
10	20	"* Tấn công"	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	""	""	3	"(+"	")"	0
11	20	"* Chính xác"	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	""	""	3	"(+"	")"	0
12	20	"* Chính xác PvP"	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	3	""	""	3	"(+"	")"	0
13	20	"Nhanh nhẹn"	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	3	""	""	1	"(+"	")"	1
14	12	"* (+) T.công"	7	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	7	12	""	""	12	""	""	0
15	12	"* (+) P.thủ"	7	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	2	9	12	""	""	0	""	""	0
16	12	"* (+) Né tránh"	7	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	9	12	""	""	0	""	""	0
17	12	"* (+) N.tránh PvP"	7	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	10	12	""	""	0	""	""	0
18	12	"* (+) Chính xác"	7	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	2	11	12	""	""	0	""	""	0
19	12	"* (+) Ch.xác PvP"	7	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	2	12	12	""	""	0	""	""	0
20	20	"* Phòng thủ"	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	14	3	""	""	0	""	""	0
21	20	"* Tốc đánh"	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	18	3	""	""	0	""	""	0
22	20	"* Phòng vệ"	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	19	3	""	""	3	"(+"	")"	0
23	20	"* Phòng thủ PVP"	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	20	3	""	""	3	"(+"	")"	0
24	20	"Thể lực"	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	22	3	""	""	1	"(+"	")"	1
