//==============================================================================================================================================//
//	MuDevs.com
//	Version: S20.1-1
//	Update: Sep/24/2024
//	Editor: OMEGA
//==============================================================================================================================================//
//Index	ItemName	ItemType	ItemIndex	Level	NameColor	NameBold	SellBan	Desc1Idx	1Color	1Bold	Desc2Idx	2Color	2Bold	Desc3Idx	3Color	3Bold	Desc4Idx	4Color	4Bold	Desc5Idx	5Color	5Bold	Desc6Idx	6Color	6Bold	Desc7Idx	7Color	7Bold	Desc8Idx	8Color	8Bold	Desc9Idx	9Color	9Bold	Desc10Idx	10Color	10Bold	Desc11Idx	11Color	11Bold
0	"Cuộn Giấy Hoàng Đế"	14	23	0	0	1	1	195	0	0	196	2	0	197	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
1	"Nhẫn Danh Dự"	14	23	1	0	1	0	195	0	0	196	2	0	197	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
2	"Kiếm Gãy"	14	24	0	3	1	1	195	0	0	196	2	0	197	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
3	"Đá Hắc Ám"	14	24	1	3	1	0	195	0	0	196	2	0	197	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
4	"Hộp May Mắn"	14	11	0	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
5	"Ngôi Sao Khai Sinh Thánh"	14	11	1	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
6	"Pháo Hoa"	14	11	2	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
7	"Trái Tim Tình Yêu"	14	11	3	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
//discontinued by Webzen (New ID 56)	""																																							
8	"Trái Ô Liu Tình Yêu"	14	11	4	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
